trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-44.96979379164429,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,0,-69.64594033966141,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,8,-98.90243215842118,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",30,10,-40.43954812616078,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,-83.92616647538235,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,7,-37.38588970858562,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,0,-55.84531825174402,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,0,33.97149664933394,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,0,-67.97291219075152,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,-92.61670261435737,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,0,-84.43182600582308,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,0,-153.80406255694922,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",35,0,4.042970815540575,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",35,20,-1.0842354865121353,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,24,10.132055479253118,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,15,21.283296410421535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-2.2577392106046497,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,1,15.751289395802553,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,10,2.386975142362263,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",35,24,14.439928674667875,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-55.827734512352386,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",30,12,-2.7592648151984704,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,8,-13.820607032335538,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,18,9.478467115073824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",30,0,-93.50519518694747,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",35,19,8.843473123438375,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",30,0,-52.00102532587835,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",30,4,-24.35091762003236,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",35,20,-29.11933243827206,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,-44.317863400067935,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,7,-10.708425871322119,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,6,34.93942090262128,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,3,-7.551570788911203,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,0,-94.80397032696472,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,0,-21.168971019214208,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",30,0,-59.73100649305,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,0,12.262298563525162,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,15,15.921867839007236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",25,0,-61.30664263536989,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",20,0,-47.10793266427201,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",35,25,16.55180532537719,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,0,-17.938031890301396,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,9,17.428342509847518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,0,11.35610426078317,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,12,-30.99163227691362,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,7,-44.14122204845421,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,3,29.342119821885234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,0,13.470546508211907,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,20,8.534339869949402,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,28.70640733111774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",35,18,-130.00882120516675,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,0,-12.424561132191334,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",25,8,12.042858972127425,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",25,0,-121.47742954753693,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",30,0,-58.953818584362196,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,7,3.179899140015409,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
